id,text,sentiment_label,split,manual,expected,verdict,has_sinhala_script,latin_words,lexicon_hits,lexicon_hit_share
9334,පවු බන් මිනිස්සු ෆොන් ගත්තට එව දන්නෙ නැ ඇත්තටම් ඔබන්නෙ එව අපෙ සිංහලයා ජොක් එකට අරන්න් එ මිනිස්සු දන්නෙ නැතුව එබිලා ඇති 😔😌☺️,positive,train,code-mixed,sinhala,HARD,True,0,0,0.0
9348,වාසි ප්ලේස් එකක්. හැට් එක දාල සයිඩ් එකේ ඉන්න මලයා හොඳ සර්විස් එකක් දුන්නා. එයා නැද්ද දැන්,positive,train,code-mixed,sinhala,HARD,True,0,0,0.0
9447,දැන් දැන් ට්රැක් අවුට් බ්රෝ ඔයා,negative,train,code-mixed,sinhala,HARD,True,0,0,0.0
9524,අඩේ ඔය සිද්ඩියෙං පස්සේ මම ගත්තෙත් A05 එකක් එකතමා තාමත් පවිච්චිබ්කරන්නේ ගලේ ගැහුවත් බඩු වැඩ,neutral,train,code-mixed,sinhala,HARD,True,0,0,0.0
10113,ජෙන් z එකෙක් ඉන්නවා අපේ අක්කගෙ කොල්ලා ඌත් එහෙමයි අමුකාලකන්නි 😂 ලැට් එකට ගියොත් ඒකෙන් එලියට එන්න පැයක් වත් යනවා රෑ එලිවෙනකල් ගේම් ගහනවා,negative,train,code-mixed,sinhala,HARD,True,0,0,0.0
7715,ඊyaa..iiiiiiiiiiya,negative,train,singlish,code-mixed,HARD,True,2,0,0.0
3316,Loads of related memories with amma,positive,train,english,singlish,SOFT,False,6,1,0.167
6254,This is AI,neutral,train,english,singlish,SOFT,False,3,1,0.333
8651,Great photography pathum,positive,train,english,singlish,SOFT,False,3,1,0.333
8768,It should be ban for all,positive,train,english,singlish,SOFT,False,6,1,0.167
8775,First ban the production 😄,negative,train,english,singlish,SOFT,False,4,1,0.25
8886,Need a video about Kal Milk,neutral,train,english,singlish,SOFT,False,5,1,0.2
9392,❤🥺,neutral,train,other,unknown,SOFT,False,0,0,0.0
9459,❤️🌝,neutral,train,other,unknown,SOFT,False,0,0,0.0
9462,❤❤,neutral,train,other,unknown,SOFT,False,0,0,0.0
9493,🥯🍔,neutral,train,other,unknown,SOFT,False,0,0,0.0
9519,❤,neutral,test,other,unknown,SOFT,False,0,0,0.0
9521,1❤❤,neutral,val,other,unknown,SOFT,False,0,0,0.0
9963,👍,positive,train,other,unknown,SOFT,False,0,0,0.0
9973,💙💙,positive,test,other,unknown,SOFT,False,0,0,0.0
10030,😂,positive,val,other,unknown,SOFT,False,0,0,0.0
10059,🫠💔,negative,val,other,unknown,SOFT,False,0,0,0.0
10076,👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾🇱🇰♥️🇱🇰 🇩🇪,positive,test,other,unknown,SOFT,False,0,0,0.0
131,matara hela rawla chees kottu try karanna,neutral,val,singlish,english,SOFT,False,7,1,0.143
341,harma lassan kathawak,neutral,val,singlish,english,SOFT,False,3,0,0.0
488,supirima pidi wadda rattaran putata teruwan saranai,positive,train,singlish,english,SOFT,False,7,1,0.143
515,sinhala bashweth baros baros gawam,neutral,val,singlish,english,SOFT,False,5,0,0.0
523,thorathuru thakshanaya bawithakaranawa aniwaryen,neutral,train,singlish,english,SOFT,False,4,0,0.0
532,pissan kotuwata dapan mamawa,negative,train,singlish,english,SOFT,False,4,0,0.0
538,pissekta pissek hambawela,negative,train,singlish,english,SOFT,False,3,0,0.0
548,htto mewwane script,negative,val,singlish,english,SOFT,False,3,0,0.0
582,peumi harima open charithayak,positive,train,singlish,english,SOFT,False,4,0,0.0
585,piyumi naog harema dukahituna oyagana,negative,val,singlish,english,SOFT,False,5,0,0.0
588,piyume hadawatinama subapatanawa,positive,train,singlish,english,SOFT,False,3,0,0.0
596,piyumi akkige life eka man sahenna kamati,positive,test,singlish,english,SOFT,False,7,1,0.143
614,matanamewa therenna oiiiii,neutral,train,singlish,english,SOFT,False,3,0,0.0
620,meyata pssuda me charith malliwa mama dannawa,neutral,test,singlish,english,SOFT,False,7,1,0.143
648,pixxu hadenawa e story eka all the very best,positive,train,singlish,english,SOFT,False,8,1,0.125
720,jeewithye dadiwa wedanawak labuwa kenata niwenawa dakinna pahasui,neutral,test,singlish,english,SOFT,False,8,0,0.0
729,bawdda samata mehenen wahanse adarsayak,positive,train,singlish,english,SOFT,False,5,0,0.0
747,akkiw kettu welaso cute,positive,test,singlish,english,SOFT,False,4,0,0.0
811,well said akke if they dont disturb other people we should mind our own business,positive,train,singlish,english,SOFT,False,15,1,0.067
888,temu lankawata badu ewanawada,neutral,test,singlish,english,SOFT,False,4,0,0.0
1026,thank you azraa akki watina video ekak,positive,train,singlish,english,SOFT,False,7,1,0.143
1038,aththatama nangi harima wadagatha topic ekak thank you,positive,train,singlish,english,SOFT,False,8,1,0.125
1060,sahodaraya chamuditha janathawa obasamagai,positive,val,singlish,english,SOFT,False,4,0,0.0
1219,akka dubbing field ekatat galapena cute voice,positive,train,singlish,english,SOFT,False,7,1,0.143
1418,mekanam aththatama watina kathawak,positive,train,singlish,english,SOFT,False,4,0,0.0
1691,harima lasana wadasatahana,neutral,test,singlish,english,SOFT,False,3,0,0.0
1732,murali oya kade giyane mahinda rajapase ta you are a goood person be the same be a good human being thank you,positive,train,singlish,english,SOFT,False,20,2,0.1
1830,obe awanka bawata nirbheetha kamata garu karami,positive,train,singlish,english,SOFT,False,7,0,0.0
1840,man kemathima charithayak susanthika jayasinha,positive,val,singlish,english,SOFT,False,5,0,0.0
1922,ape hamuduruwange buddiya danumata sannasgala sir respect,positive,test,singlish,english,SOFT,False,7,1,0.143
1940,thank you kapil sharma yohani api adambarai,positive,train,singlish,english,SOFT,False,7,1,0.143
1945,voice controlling style features eye contact body language supiri,positive,val,singlish,english,SOFT,False,9,1,0.111
1997,kawda mei niliya tv add ekakath innawa,neutral,train,singlish,english,SOFT,False,7,1,0.143
2075,varadda police mamalagene,negative,val,singlish,english,SOFT,False,3,0,0.0
2083,elakiri police ballonta,negative,test,singlish,english,SOFT,False,3,0,0.0
2113,vera level ane police karaya pav bang,negative,train,singlish,english,SOFT,False,7,1,0.143
2261,girls homoner labadeemen me thathwaya magaharinda puluwan neader,neutral,train,singlish,english,SOFT,False,8,1,0.125
2309,ketunu game owene wewaha anumata karannehe bibalayata anyway lokuwereddak,negative,train,singlish,english,SOFT,False,9,0,0.0
2333,asamanyayi namuth hodayi hithata ekagaba oyadennata jeevath venda puluvan,positive,train,singlish,english,SOFT,False,9,0,0.0
2379,jeewite windimata risiseida demu eyai minisathkam depalata subapathum,positive,train,singlish,english,SOFT,False,8,0,0.0
2446,oua ponnayata nithiyata genn onikalaknnilankawata atthatama shapayak,negative,test,singlish,english,SOFT,False,7,0,0.0
2469,suda bro chandimalwa atta dekken ellanawa gall face ground ekkay chandimal ponnayek,negative,train,singlish,english,SOFT,False,12,1,0.083
2488,harima wtina interview ekak thank you both of you,positive,train,singlish,english,SOFT,False,9,1,0.111
2646,iq option boruwakda,neutral,train,singlish,english,SOFT,False,3,0,0.0
2666,oyanam elakiri porak superb work,positive,train,singlish,english,SOFT,False,5,0,0.0
2667,pttm chrithyk mn dakpu issr idnm adry krn nihthamani charithyk anushka udana,positive,test,singlish,english,SOFT,False,12,1,0.083
2671,vadagath charithayak good luck anushka great job hari tv,positive,train,singlish,english,SOFT,False,9,1,0.111
2698,anushka ayiya respect oy,positive,val,singlish,english,SOFT,False,4,0,0.0
2728,adambarai anushka ayye oyagena,positive,val,singlish,english,SOFT,False,4,0,0.0
2789,hapi bardsey yash akki hamadamath sathutin inna,positive,train,singlish,english,SOFT,False,7,1,0.143
2798,yashge ammith harima lassanay hass harima wasana wanthay,positive,train,singlish,english,SOFT,False,8,0,0.0
2904,bro youre so good good video bro make it more blur karanna faces privacy ekata,positive,train,singlish,english,SOFT,False,15,2,0.133
2990,phone num verification illanawane,neutral,test,singlish,english,SOFT,False,4,0,0.0
2993,supirima supiriyak bro,positive,train,singlish,english,SOFT,False,3,0,0.0
