id,text,cleaned_text,tagged_text,lid_sequence,sentiment,label,platform,source,n_sinhala,n_english,n_emoji,cmi,is_code_mixed
3420,orders 3 na ma boru daraz kiyanne patta horu,orders 3 na ma boru daraz kiyanne patta horu,orders[EN] 3[NUM] na[EN] ma[EN] boru[EN] daraz[EN] kiyanne[EN] patta[EN] horu[EN],EN NUM EN EN EN EN EN EN EN,negative,1,youtube,MP95e4U33SI,0,8,0,0.0,False
5188,Apita mokada yako,Apita mokada yako,Apita[EN] mokada[EN] yako[EN],EN EN EN,negative,1,facebook,Hiru Gossip,0,3,0,0.0,False
5675,bo aththak watunoth innada pirith kiyala kiyala,bo aththak watunoth innada pirith kiyala kiyala,bo[EN] aththak[EN] watunoth[EN] innada[EN] pirith[EN] kiyala[EN] kiyala[EN],EN EN EN EN EN EN EN,negative,1,facebook,වි චා ර ක යා,0,7,0,0.0,False
4886,Ane math kiyala thiyeyi mata mathakayi Ahenna kiwwada kiyala nam mathaka na Kohoma hari meken samajagatha karana de nam wadagath And so creative and so funny But creepy,Ane math kiyala thiyeyi mata mathakayi Ahenna kiwwada kiyala nam mathaka na Kohoma hari meken samajagatha karana de nam wadagath And so creative and so funny But creepy,Ane[EN] math[EN] kiyala[EN] thiyeyi[EN] mata[EN] mathakayi[EN] Ahenna[EN] kiwwada[EN] kiyala[EN] nam[EN] mathaka[EN] na[EN] Kohoma[EN] hari[EN] meken[EN] samajagatha[EN] karana[EN] de[EN] nam[EN] wadagath[EN] And[EN] so[EN] creative[EN] and[EN] so[EN] funny[EN] But[EN] creepy[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN,neutral,2,facebook,Kehelmala,0,28,0,0.0,False
13,රටක ජීවත් වෙනකොට වැදගත් වෙන්නේ රටේ බහුතරය ජීවත් වෙන්ඩ වෙලා තියෙන්නෙ කොහොමද කියන එක සල්ලි තියෙන එකෙක් දෙන්නෙක් කොහොමද ජීවත් වෙන්නේ කියන එක වැදගත් නෑ බස් එකේ පොඩි වෙලා යනකොට අනික carnage එකේ වැඩ කරන හෙම එකාම business එකක් පටන් ගත්තොත් මූ සල්ලි හොයන්නෙ කොහොමද,රටක ජීවත් වෙනකොට වැදගත් වෙන්නේ රටේ බහුතරය ජීවත් වෙන්ඩ වෙලා තියෙන්නෙ කොහොමද කියන එක සල්ලි තියෙන එකෙක් දෙන්නෙක් කොහොමද ජීවත් වෙන්නේ කියන එක වැදගත් නෑ බස් එකේ පොඩි වෙලා යනකොට අනික carnage එකේ වැඩ කරන හෙම එකාම business එකක් පටන් ගත්තොත් මූ සල්ලි හොයන්නෙ කොහොමද,රටක[SI] ජීවත්[SI] වෙනකොට[SI] වැදගත්[SI] වෙන්නේ[SI] රටේ[SI] බහුතරය[SI] ජීවත්[SI] වෙන්ඩ[SI] වෙලා[SI] තියෙන්නෙ[SI] කොහොමද[SI] කියන[SI] එක[SI] සල්ලි[SI] තියෙන[SI] එකෙක්[SI] දෙන්නෙක්[SI] කොහොමද[SI] ජීවත්[SI] වෙන්නේ[SI] කියන[SI] එක[SI] වැදගත්[SI] නෑ[SI] බස්[SI] එකේ[SI] පොඩි[SI] වෙලා[SI] යනකොට[SI] අනික[SI] carnage[EN] එකේ[SI] වැඩ[SI] කරන[SI] හෙම[SI] එකාම[SI] business[EN] එකක්[SI] පටන්[SI] ගත්තොත්[SI] මූ[SI] සල්ලි[SI] හොයන්නෙ[SI] කොහොමද[SI],SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI EN SI SI SI SI SI EN SI SI SI SI SI SI SI,negative,1,youtube,x4jCX2iklw4,43,2,0,0.0444,True
3561,oyanam elakiri porak superb work,oyanam elakiri porak superb work,oyanam[EN] elakiri[EN] porak[EN] superb[EN] work[EN],EN EN EN EN EN,positive,0,youtube,H_YTWy-H9UA,0,5,0,0.0,False
1080,me tharam ratata viyasanaya oya wage waradi nisa,me tharam ratata viyasanaya oya wage waradi nisa,me[EN] tharam[EN] ratata[EN] viyasanaya[EN] oya[EN] wage[EN] waradi[EN] nisa[EN],EN EN EN EN EN EN EN EN,negative,1,youtube,VZZSOnPZLsE,0,8,0,0.0,False
4940,gana dan wedi karanne me hadanne,gana dan wedi karanne me hadanne,gana[EN] dan[EN] wedi[EN] karanne[EN] me[EN] hadanne[EN],EN EN EN EN EN EN,negative,1,facebook,Hiru Gossip,0,6,0,0.0,False
5327,mehema sell wenna epa salli walata,mehema sell wenna epa salli walata,mehema[EN] sell[EN] wenna[EN] epa[EN] salli[EN] walata[EN],EN EN EN EN EN EN,negative,1,facebook,Social Media Feed,0,6,0,0.0,False
3716,happy birthday yashaa හැමදාම සතුටින් පරිස්සමින් ඉන්න ඕනි දෙන්නම,happy birthday yashaa හැමදාම සතුටින් පරිස්සමින් ඉන්න ඕනි දෙන්නම,happy[EN] birthday[EN] yashaa[EN] හැමදාම[SI] සතුටින්[SI] පරිස්සමින්[SI] ඉන්න[SI] ඕනි[SI] දෙන්නම[SI],EN EN EN SI SI SI SI SI SI,positive,0,youtube,akVPGPY1Iuk,6,3,0,0.3333,True
4301,Oya ammata ukontano,Oya ammata ukontano,Oya[EN] ammata[EN] ukontano[EN],EN EN EN,negative,1,facebook,Hiru Gossip,0,3,0,0.0,False
1548,hi akki mama oyage vlog walata kamathi love you,hi akki mama oyage vlog walata kamathi love you,hi[EN] akki[EN] mama[EN] oyage[EN] vlog[EN] walata[EN] kamathi[EN] love[EN] you[EN],EN EN EN EN EN EN EN EN EN,positive,0,youtube,2ygTD_CvlJM,0,9,0,0.0,False
454,"great video 
bro can you explain about arpanet",great video bro can you explain about arpanet,great[EN] video[EN] bro[EN] can[EN] you[EN] explain[EN] about[EN] arpanet[EN],EN EN EN EN EN EN EN EN,positive,0,youtube,ObQNcnysLmw,0,8,0,0.0,False
3641,lankawe gahaniyata arakshawa ne pita ratawal gaurawayak thiyenawa,lankawe gahaniyata arakshawa ne pita ratawal gaurawayak thiyenawa,lankawe[EN] gahaniyata[EN] arakshawa[EN] ne[EN] pita[EN] ratawal[EN] gaurawayak[EN] thiyenawa[EN],EN EN EN EN EN EN EN EN,negative,1,youtube,_zy3kHioA5U,0,8,0,0.0,False
