id,manual,new_label,verdict
5309,code-mixed,english,HARD
9034,code-mixed,sinhala,HARD
9440,code-mixed,sinhala,HARD
9960,code-mixed,sinhala,HARD
2146,english,code-mixed,HARD
184,singlish,code-mixed,HARD
2803,singlish,code-mixed,HARD
2109,singlish,code-mixed,HARD
7608,singlish,code-mixed,HARD
5447,english,code-mixed,HARD
9443,code-mixed,singlish,HARD
32,singlish,code-mixed,HARD
1993,singlish,code-mixed,HARD
3068,singlish,code-mixed,HARD
2478,singlish,code-mixed,HARD
2435,english,code-mixed,HARD
3100,singlish,code-mixed,HARD
2192,singlish,code-mixed,HARD
5109,singlish,code-mixed,HARD
3090,singlish,code-mixed,HARD
3058,singlish,code-mixed,HARD
2124,singlish,code-mixed,HARD
235,singlish,code-mixed,HARD
2117,singlish,code-mixed,HARD
2305,singlish,code-mixed,HARD
6514,singlish,code-mixed,HARD
2777,singlish,code-mixed,HARD
1695,singlish,code-mixed,HARD
313,singlish,code-mixed,HARD
2399,singlish,code-mixed,HARD
2132,singlish,code-mixed,HARD
1908,singlish,code-mixed,HARD
2505,singlish,code-mixed,HARD
2516,singlish,code-mixed,HARD
3070,singlish,code-mixed,HARD
9444,code-mixed,singlish,HARD
1,singlish,english,SOFT
22,singlish,english,SOFT
758,singlish,english,SOFT
783,singlish,english,SOFT
1099,singlish,english,SOFT
1942,singlish,english,SOFT
2253,singlish,english,SOFT
3036,singlish,english,SOFT
3200,singlish,english,SOFT
3296,singlish,english,SOFT
3528,singlish,english,SOFT
3538,singlish,english,SOFT
3648,singlish,english,SOFT
3674,singlish,english,SOFT
4049,singlish,english,SOFT
4074,singlish,english,SOFT
4154,singlish,english,SOFT
4766,singlish,english,SOFT
4792,singlish,english,SOFT
5012,singlish,english,SOFT
5015,singlish,english,SOFT
5021,singlish,english,SOFT
5024,singlish,english,SOFT
5030,singlish,english,SOFT
5039,singlish,english,SOFT
5040,singlish,english,SOFT
5041,singlish,english,SOFT
5052,singlish,english,SOFT
5053,singlish,english,SOFT
5054,singlish,english,SOFT
5058,singlish,english,SOFT
5061,singlish,english,SOFT
5064,singlish,english,SOFT
5068,singlish,english,SOFT
5087,singlish,english,SOFT
5088,singlish,english,SOFT
5089,singlish,english,SOFT
5117,singlish,english,SOFT
5323,singlish,english,SOFT
5324,singlish,english,SOFT
5399,singlish,english,SOFT
5521,singlish,english,SOFT
5755,singlish,english,SOFT
5813,singlish,english,SOFT
5818,singlish,english,SOFT
5826,singlish,english,SOFT
5833,singlish,english,SOFT
5873,singlish,english,SOFT
5875,singlish,english,SOFT
5904,singlish,english,SOFT
6034,singlish,english,SOFT
6058,singlish,english,SOFT
6063,singlish,english,SOFT
6077,singlish,english,SOFT
6083,singlish,english,SOFT
6085,singlish,english,SOFT
6158,singlish,english,SOFT
6166,singlish,english,SOFT
6209,singlish,english,SOFT
6210,singlish,english,SOFT
6251,singlish,english,SOFT
6256,singlish,english,SOFT
6295,singlish,english,SOFT
6535,singlish,english,SOFT
6543,singlish,english,SOFT
6554,singlish,english,SOFT
6559,singlish,english,SOFT
6625,singlish,english,SOFT
6648,singlish,english,SOFT
6653,singlish,english,SOFT
6654,singlish,english,SOFT
6857,singlish,english,SOFT
6858,singlish,english,SOFT
6905,singlish,english,SOFT
6997,singlish,english,SOFT
6998,singlish,english,SOFT
7006,singlish,english,SOFT
7015,singlish,english,SOFT
7018,singlish,english,SOFT
7028,singlish,english,SOFT
7062,singlish,english,SOFT
7082,singlish,english,SOFT
7095,singlish,english,SOFT
7207,singlish,english,SOFT
7211,singlish,english,SOFT
7242,singlish,english,SOFT
7291,singlish,english,SOFT
7327,singlish,english,SOFT
7338,singlish,english,SOFT
7344,singlish,english,SOFT
7353,singlish,english,SOFT
7376,singlish,english,SOFT
7378,singlish,english,SOFT
7384,singlish,english,SOFT
7385,singlish,english,SOFT
7391,singlish,english,SOFT
7393,singlish,english,SOFT
7395,singlish,english,SOFT
7396,singlish,english,SOFT
7402,singlish,english,SOFT
7436,singlish,english,SOFT
7437,singlish,english,SOFT
7440,singlish,english,SOFT
7441,singlish,english,SOFT
7469,singlish,english,SOFT
7497,singlish,english,SOFT
7500,singlish,english,SOFT
7510,singlish,english,SOFT
7513,singlish,english,SOFT
7515,singlish,english,SOFT
7527,singlish,english,SOFT
7528,singlish,english,SOFT
7529,singlish,english,SOFT
7537,singlish,english,SOFT
7603,singlish,english,SOFT
7633,singlish,english,SOFT
7678,singlish,english,SOFT
7708,singlish,english,SOFT
7765,singlish,english,SOFT
7786,singlish,english,SOFT
7797,singlish,english,SOFT
7813,singlish,english,SOFT
7936,singlish,english,SOFT
7948,singlish,english,SOFT
