id,text,sentiment_label,split,manual,expected,verdict,has_sinhala_script,latin_words,lexicon_hits,lexicon_hit_share
1,i watch your every video without skipping your the 1st one because i skipped others youtubers videos long video we want more more videos thank you sharing your knowledge etc its valuable to me because i workd in appeal field,positive,train,english,english,OK,False,37,0,0.0
2,ඔයා කොහොමද ඔය තැනට එනකම් මිනිස්සුන්ව සෙවකයන්ව හැසිරෙව්වෙ ඇදුමක් හදන තැන ඉදල විකුනන තැනට එනකම් process එක වගෙ දෙවල් ගැන ඉලග video එකකින් ගෙන්නකො,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
3,oya thanikarama karala thiyenne gap fill karapu eka neda ekathamai reason eka oya wage kenek eliyata enna,negative,train,singlish,singlish,OK,False,17,11,0.647
4,අපිට factory එකක් පෙන්නන්න carnage මහන තැන,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
5,video aka supiri,positive,test,singlish,singlish,OK,False,3,2,0.667
6,me staff eka hoyagtte kohend ven kisima thanaka me vge staff ekk dakala na,negative,test,singlish,singlish,OK,False,14,5,0.357
7,kolla hamoma karana bussness ekak krl eke kohomada api thenak hada gnne kohomada kiyla dnna,negative,train,singlish,singlish,OK,False,15,13,0.867
8,lon gena podak kiynawada vidio ekekin,negative,test,singlish,singlish,OK,False,6,2,0.333
9,මම ගොඩක් ස්තූති වන්ත වෙනවා ඔයාට ඔයාගේ අත්දැකීම් කිව්වට මම ඒකෙන් හොද ඉගෙනුමක් ලැබුවා අපි වැටි වැටී තමයි නැගිටින්න ඕන good work,positive,train,code-mixed,code-mixed,OK,True,2,0,0.0
10,මුල්ම tshirts මැහුවද නැත්තම් වෙන factory එකකින් ගත්තද,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
11,brother car එකේ ඉඳන් කතා කරපු දේවල් left side එකෙන් විතරයි ඇහෙන්නේ 350,neutral,train,code-mixed,code-mixed,OK,True,4,0,0.0
12,රටක ජීවත් වෙනකොට වැදගත් වෙන්නේ රටේ බහුතරය ජීවත් වෙන්ඩ වෙලා තියෙන්නෙ කොහොමද කියන එක සල්ලි තියෙන එකෙක් දෙන්නෙක් කොහොමද ජීවත් වෙන්නේ කියන එක වැදගත් නෑ බස් එකේ පොඩි වෙලා යනකොට අනික carnage එකේ වැඩ කරන හෙම එකාම business එකක් පටන් ගත්තොත් මූ සල්ලි හොයන්නෙ කොහොමද,negative,test,code-mixed,code-mixed,OK,True,2,0,0.0
13,business වල එක පාර උඩ යනව කියල පලවෙනි business එක success උන් නෑ කියපු එකම කොල්ල මං හිතන්නෙ ඒකටනම් respect,positive,train,code-mixed,code-mixed,OK,True,4,0,0.0
14,thank you very much for sharing your experience joel aiya,positive,val,english,english,OK,False,10,1,0.1
15,ව්යවසායකත්වය කියන්නේ සරල සුන්දර දෙයක් නොවේ business කරනවා කියන්නේම අමුවෙන්ම විදුරැකඩු කනවා වගේ මේකේ වේදනාවන් දරාගැනිම් නිදිනැති රැයවල් අසිමිතයි බලන්නෝ දකින්නේ යනවාහනේ සැප vibe එක එතෙන්න එන්න ගමන ගේම දන්නේ සටනේ ඉන්න warrior විතරයි ජයමවේවා මගේ මලයා lern more ern more,positive,train,code-mixed,code-mixed,OK,True,7,0,0.0
16,thanks alot for sharing your insight and we are really grateful to have a entrepreneur like you sir giving a quick heads up i am watching these videos using airpods on some parts of the video specially when you are speaking while driving i can hear only from the left earbud only in the previous video denza b5 video i could hear almost the complete video only from my right earbud please try to work on it,positive,train,english,english,OK,False,71,0,0.0
17,business eka karagana yanakota mula kale eka gena athi wena prashna account side eke wage godak welawata ena prashna ehema nattam ee dewal simple karaganna widiya gena podi hari business karapu kenek gen upades gattada ehema gattanm ee wage contact network ekak hadagatte kohomada ayye,negative,test,singlish,singlish,OK,False,45,30,0.667
18,lululemon wage brand ekak mention karapu nisa therenawa kochchara research ekak karanna athda kiyala wade patan ganna kalin waiting for carnage supplements through fitness island conquering the international market if my prediction is right haha jaya wewa machan,neutral,train,singlish,singlish,OK,False,38,15,0.395
19,metal health eka improve kara gaththe kohomada bro,neutral,train,singlish,singlish,OK,False,8,4,0.5
20,brother branded underwear karanna puluwan num oyage branding ekakin,negative,train,singlish,singlish,OK,False,9,4,0.444
21,අපි කොහොමද අපේම brand එකක් හොයාගන්නේcarnagespa ceylon වගේ brand හදන්නෙ කොහොමද idea කොහොනද ගන්නෙ,neutral,train,code-mixed,code-mixed,OK,True,5,0,0.0
22,im still in university and im also trying different things as side hustles to cover my expenses and make some savings and my goal is to eventually grow a business out from one of those and youre a true inspiration for me to grind even harder and keep myself on track thank you for sharing your stories here and also i have few suggestions to make content about what habits you follow to make your life better and also which helps you to do your work more efficiently and grow and also about which people inspired you to become what you are today thank you and best of luck to your journey ahead,positive,train,english,english,OK,False,110,0,0.0
23,4135 nike adidas වගේ brand එකක් ලංකාවෙන් ගේන්න සුභ පැතුම්,positive,train,code-mixed,code-mixed,OK,True,3,0,0.0
24,wow පට්ට වාහනේ,positive,train,code-mixed,code-mixed,OK,True,1,0,0.0
25,thanks machan tava oni,positive,train,singlish,singlish,OK,False,4,2,0.5
