id,text,sentiment,platform,source,,,
1,ඇත්තටම මාත් bachelor එකක් කරලා ඉන්නේ මේක මගේ passion එක නෙවේ ඒක නිසා මං දැන් ජොබ් එකක් කරන්නෑ ගෙදරට වෙලා නිකන් ඉන්නවා ඒකට මං කැමතියි දැන් මේක තමයි මගේ පැෂන් එක,negative,youtube,x4jCX2iklw4,,,
2,i watch your every video without skipping your the 1st one because i skipped others youtubers videos long video we want more more videos thank you sharing your knowledge etc its valuable to me because i workd in appeal field,positive,youtube,x4jCX2iklw4,,,
3,ඔයා කොහොමද ඔය තැනට එනකම් මිනිස්සුන්ව සෙවකයන්ව හැසිරෙව්වෙ ඇදුමක් හදන තැන ඉදල විකුනන තැනට එනකම් process එක වගෙ දෙවල් ගැන ඉලග video එකකින් ගෙන්නකො,neutral,youtube,x4jCX2iklw4,,,
4,oya thanikarama karala thiyenne gap fill karapu eka neda ekathamai reason eka oya wage kenek eliyata enna,negative,youtube,x4jCX2iklw4,,,
5,අපිට factory එකක් පෙන්නන්න carnage මහන තැන,neutral,youtube,x4jCX2iklw4,,,
6,video aka supiri,positive,youtube,x4jCX2iklw4,,,
7,me staff eka hoyagtte kohend ven kisima thanaka me vge staff ekk dakala na,negative,youtube,x4jCX2iklw4,,,
8,kolla hamoma karana bussness ekak krl eke kohomada api thenak hada gnne kohomada kiyla dnna,negative,youtube,x4jCX2iklw4,,,
9,lon gena podak kiynawada vidio ekekin,negative,youtube,x4jCX2iklw4,,,
10,මම ගොඩක් ස්තූති වන්ත වෙනවා ඔයාට ඔයාගේ අත්දැකීම් කිව්වට මම ඒකෙන් හොද ඉගෙනුමක් ලැබුවා අපි වැටි වැටී තමයි නැගිටින්න ඕන good work,positive,youtube,x4jCX2iklw4,,,
11,මුල්ම tshirts මැහුවද නැත්තම් වෙන factory එකකින් ගත්තද,neutral,youtube,x4jCX2iklw4,,,
12,brother car එකේ ඉඳන් කතා කරපු දේවල් left side එකෙන් විතරයි ඇහෙන්නේ 350,neutral,youtube,x4jCX2iklw4,,,
13,රටක ජීවත් වෙනකොට වැදගත් වෙන්නේ රටේ බහුතරය ජීවත් වෙන්ඩ වෙලා තියෙන්නෙ කොහොමද කියන එක සල්ලි තියෙන එකෙක් දෙන්නෙක් කොහොමද ජීවත් වෙන්නේ කියන එක වැදගත් නෑ බස් එකේ පොඩි වෙලා යනකොට අනික carnage එකේ වැඩ කරන හෙම එකාම business එකක් පටන් ගත්තොත් මූ සල්ලි හොයන්නෙ කොහොමද,negative,youtube,x4jCX2iklw4,,,
14,business වල එක පාර උඩ යනව කියල පලවෙනි business එක success උන් නෑ කියපු එකම කොල්ල මං හිතන්නෙ ඒකටනම් respect,positive,youtube,x4jCX2iklw4,,,
15,thank you very much for sharing your experience joel aiya,positive,youtube,x4jCX2iklw4,,,
16,ව්යවසායකත්වය කියන්නේ සරල සුන්දර දෙයක් නොවේ business කරනවා කියන්නේම අමුවෙන්ම විදුරැකඩු කනවා වගේ මේකේ වේදනාවන් දරාගැනිම් නිදිනැති රැයවල් අසිමිතයි බලන්නෝ දකින්නේ යනවාහනේ සැප vibe එක එතෙන්න එන්න ගමන ගේම දන්නේ සටනේ ඉන්න warrior විතරයි ජයමවේවා මගේ මලයා lern more ern more,positive,youtube,x4jCX2iklw4,,,
17,thanks alot for sharing your insight and we are really grateful to have a entrepreneur like you sir giving a quick heads up i am watching these videos using airpods on some parts of the video specially when you are speaking while driving i can hear only from the left earbud only in the previous video denza b5 video i could hear almost the complete video only from my right earbud please try to work on it,positive,youtube,x4jCX2iklw4,,,
18,business eka karagana yanakota mula kale eka gena athi wena prashna account side eke wage godak welawata ena prashna ehema nattam ee dewal simple karaganna widiya gena podi hari business karapu kenek gen upades gattada ehema gattanm ee wage contact network ekak hadagatte kohomada ayye,negative,youtube,x4jCX2iklw4,,,
19,lululemon wage brand ekak mention karapu nisa therenawa kochchara research ekak karanna athda kiyala wade patan ganna kalin waiting for carnage supplements through fitness island conquering the international market if my prediction is right haha jaya wewa machan,neutral,youtube,x4jCX2iklw4,,,
20,metal health eka improve kara gaththe kohomada bro,neutral,youtube,x4jCX2iklw4,,,
21,brother branded underwear karanna puluwan num oyage branding ekakin,negative,youtube,x4jCX2iklw4,,,
22,අපි කොහොමද අපේම brand එකක් හොයාගන්නේcarnagespa ceylon වගේ brand හදන්නෙ කොහොමද idea කොහොනද ගන්නෙ,neutral,youtube,x4jCX2iklw4,,,
23,im still in university and im also trying different things as side hustles to cover my expenses and make some savings and my goal is to eventually grow a business out from one of those and youre a true inspiration for me to grind even harder and keep myself on track thank you for sharing your stories here and also i have few suggestions to make content about what habits you follow to make your life better and also which helps you to do your work more efficiently and grow and also about which people inspired you to become what you are today thank you and best of luck to your journey ahead,positive,youtube,x4jCX2iklw4,,,
24,4135 nike adidas වගේ brand එකක් ලංකාවෙන් ගේන්න සුභ පැතුම්,positive,youtube,x4jCX2iklw4,,,
25,wow පට්ට වාහනේ,positive,youtube,x4jCX2iklw4,,,
26,thanks machan tava oni,positive,youtube,x4jCX2iklw4,,,
27,inspiring do more videos වැරදිච්ච තැන් fail වෙච්ච තැන් ඒවා solved කර ගත්ත විදිය ගැන වීඩියෝ එකක් ගෙන්න,neutral,youtube,x4jCX2iklw4,,,
28,මම මගේ ඔලුව හදාගන්නේ ගෙමක් ගහන්න ඔනේ කියලා හිතාගාන්නේ වගෙම කරන්නේ අයියගේ විඩියෝ ඒ කලේ ඉදන්ම බලන කෙනෙක් මන් aduma gym යන්න පටන් ගත්තේත් ඉතිම්මෙ විඩියෝ එකත් බැලුවා ඔලුවට ගොඩක්ක් දෙවල් ගත්තා ඉසරහටත් ඔනේ අයියේ විඩියෝ,neutral,youtube,x4jCX2iklw4,,,
29,mind decipline focas eka stable karagnn video ekak hari series ekak hari genna plz,negative,youtube,x4jCX2iklw4,,,
30,machan loku capital akak onane oya wage store akak open karana may be 10m 15m eka kohomada hoyaganne,negative,youtube,x4jCX2iklw4,,,
31,ayya waddek mama kemathi business development gana ilaga vlog wala katha karanawanam,negative,youtube,x4jCX2iklw4,,,
32,2016 ඉදන් මම ඔයාව follow කරන්නෙ මාරම inspiration එකක් ගන්න පුලුවන් චරිතයක් respect aiya keep up the good work,positive,youtube,x4jCX2iklw4,,,
33,negombo enakota msg ek danna aasai dakinna katha karanna kaapu katta gana ahan inna කොට got energy to live,negative,youtube,x4jCX2iklw4,,,
34,colombo 7 first fitness එකත් ඔයාගෙද,neutral,youtube,x4jCX2iklw4,,,
35,machang joel audio eka poddak awul but love the advice,negative,youtube,x4jCX2iklw4,,,
36,carnage brand එක යටතේ shoes තියෙනවාද,neutral,youtube,x4jCX2iklw4,,,
37,mata mathakai mn podi kale school of fitness yt channel eke video balanawa mr joel ara polawal gane gihin budget meal plan ehem kiyala denw passe carnage eka up wela eke owner mr joel kiyala dana gattama matath puduma una hithuna,negative,youtube,x4jCX2iklw4,,,
38,අයියව දවසක live දකින්න ආසාවෙන් ඉන්න මම,neutral,youtube,x4jCX2iklw4,,,
39,ayye thawa one me wage knowledge sharing content,negative,youtube,x4jCX2iklw4,,,
40,මේ චැනල් එකටත් sore එකත් add කලානම් හරි අයියා,neutral,youtube,x4jCX2iklw4,,,
41,දැම්ම ගමන්ම බලනව විතරක් නෙවෙයි අපි office එකෙත් කතා වෙනවා අයියේ,neutral,youtube,x4jCX2iklw4,,,
42,දිගටම vlogs දාන්න,neutral,youtube,x4jCX2iklw4,,,
43,මමටත් ඕනි ඔයා වගේ brand එකක් හදන්න අයියෙ මම ඒක වෙනුවෙන් ලොකු රිස්ක් එකක් අරං ඉන්නෙ මෙ වෙලාවෙ උපරිම උත්සහ කරනව මගෙ හීනෙ හැබැ කර ගන්න,neutral,youtube,x4jCX2iklw4,,,
44,මම clothing business එකක් පටන් ගන්න මේ දවස් වල වැඩ කරද්දී මේ video එක බැලුවේ thankyou so much,positive,youtube,x4jCX2iklw4,,,
45,අය්යෙ ediucation english knowledge branding ගැන ඉගෙන ගත්තෙ කොහොමද,neutral,youtube,x4jCX2iklw4,,,
46,තමන් දියුනු වෙලා තව කෙනෙක්ට ගොඩ යන්න පාර පෙන්නවා කියන්නේ ඒක ඔයාගෙ තියෙන මාරම quilt එකක් අයියේතව තවත් හරියන්න ඕනමගේ journey එකටත් ඔයාගේ story එක මම ගොඩක් වෙලාවට apply කරනවාthank you somuch,positive,youtube,x4jCX2iklw4,,,
47,consistency is the key මේ video එක බලද්දි තේරෙන එකම දෙය තමයි success කියන්නෙ overnight ලැබෙන දෙයක් නෙවෙයි කියලා වැටෙන තැන් හිත බිඳෙන මොහොතන් doubt තියෙන කාලවල් අතරත් එකම direction එකට daily effort දාගෙන යන එකයි real game එක ඔයාගේ journey එක honest විදිහට share කරපු එකත් give up නොකර ගිය consistency එකත් බොහොම inspiring මේ වගේ real stories තමයි අනිත් අයටත් මටත් පුළුවන් කියලා විශ්වාසයක් දෙන්නේ respect your grind keep going this is just the beginning,positive,youtube,x4jCX2iklw4,,,
48,කලින් video එකෙ මම vehicle වගෙ දෙවල් වලට වැඩි impressive එකක් නැ කියපු එක වැදුනා,neutral,youtube,x4jCX2iklw4,,,
49,thankyou හැම comment එකකටම තව vlogs කරගෙන යන්න ලැබෙන ලොකු encouragement එකක් instagram connect වෙන්න ආස අයට joeltillekeratneigshmtd6cjd4ynl5mwf6bw,positive,youtube,x4jCX2iklw4,,,
50,dial ekak thamai gemmac kollokollek unama thiyenna one moral eka ubata hodatama thiyenawa machn good luck,positive,youtube,x4jCX2iklw4,,,
51,thanks aiye oya me vedio eken dunna dewal sahenna watinawa,positive,youtube,x4jCX2iklw4,,,
52,enterpaner කෙනෙක් වෙනවා කියලා කට වචනෙට කිවුවට ඒ මානසික පිඩනය දාරාගන්න හැමොම බැ,negative,youtube,x4jCX2iklw4,,,
53,oya othenta awe payn newei da car eken da,neutral,youtube,x4jCX2iklw4,,,
54,aiyee mn it degree 1k කරන කෙනෙක් final year ඒත් මේක මගේ passion එක නෙවෙයි කියලා මට තේරෙන්න ගත්තේ degree එක කරගෙන යද්දි මම හොදටම දන්නවා මගේ passion එක මොකක්ද ද කියලා ඒත් මං දැන් ගොඩක් පරක්කු වැඩියි මොකද මම private uni එකක තමයි මගේ degree එක කරන්නෙ මගේ අම්මයි තාත්තයි ගොඩාක් මහන්සි වෙලා තමයි මාව මෙතනට ගෙනාවෙ මට 2026 ට අවුරුදු 23ක් වෙනවා මට තේරෙන්නේ නෑ මගේ ගමන මම කොතනින් පටන් ගන්නද කියලා මට එන pressure එක ගොඩක් වැඩියි මොකද මම මේ අවුරුද්දේ graduate වෙන නිසා ගෙදරින් කියනවා job එකක් හොයා ගන්න කියලා මාව එක තැනක හිර වෙලා වගේ මට මොනා කරන්න්ද කියලා හිතා ගන්න බෑ,negative,youtube,x4jCX2iklw4,,,
55,very important vedio aiye mn oyage vedio danakam balan innepodcast dapu ewath okkoma balnwa oya me karana de apita loku shakthiyak gdk dewal igana gannawa thanks keep it up,positive,youtube,x4jCX2iklw4,,,
56,sir den api ape software eke quality eka check kranna ai ekata denna puluvanne eka minihektabeginner vada hoda nedda,negative,youtube,D23u04Lehdg,,,
57,මම ai එක use කරන්නේ මට කම්මැලි කොටස් ganarate කරවා ගන්න උදාහරණයක් විඳියට ලංකාවේ දිස්ත්රික් 25 drop down එකකට දාන්න ඕනේ නම් ඒක මම ලියන්න ඕනේ නැහැ නේ අන්න ඒ වගේ එකක් gpt අයියට කියලා ලියා ගන්නවා,negative,youtube,D23u04Lehdg,,,
58,මුන්ගේ ජොබ් වලට කේලේවේනවා ai නිසා පිසේක වගේ කැගහනවා,negative,youtube,D23u04Lehdg,,,
59,මාත් webpages save කරගෙන ගෙදර ආවා ඒ කාලේ internet නැති නිසා,neutral,youtube,D23u04Lehdg,,,
60,aiye mama self learning start kerepu kenek habai mama concept igena ganne ai welin mama software engineer kiyanne mokkakde kiyalawath danna mama it field eke thiyena dewal kerranna try kerrenwa mama dnt personal project 2k haduwa web application wela front end mata methanin issrhrt mokade kerranna pulluwan earn path ekak hadaganna,negative,youtube,D23u04Lehdg,,,
